Holiday_ID,Date,Emp_ID,Festival_Name,Remarks,Created_By,Timestamp
HOL-E-VIVEK-20260501,2026-05-01,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260502,2026-05-02,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260503,2026-05-03,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260504,2026-05-04,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260505,2026-05-05,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260506,2026-05-06,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260507,2026-05-07,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260508,2026-05-08,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260509,2026-05-09,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260510,2026-05-10,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260511,2026-05-11,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
HOL-E-VIVEK-20260512,2026-05-12,E_Vivek,Employee-specific holiday,started on 13th May,backend@wagewise.local,2026-05-13T00:00:00
